MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     7.281967E-01     2.853359E-01     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     2.131834E+03     2.853359E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     8     2     2.005786E+00     1.174657E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    11     3     7.321911E-01     4.588347E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    13     4     7.279304E-01     1.893060E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    14     5     7.275563E-01     9.185184E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    15     6     7.273484E-01     2.780624E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    16     7     7.293757E-01     5.725872E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    18     8     7.275598E-01     1.743230E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    20     9     7.268382E-01     3.425127E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    21    10     7.265496E-01     4.949528E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    22    11     7.263317E-01     1.932784E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    23    12     7.260619E-01     3.029880E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    24    13     7.260923E-01     3.906314E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    26    14     7.256244E-01     2.567735E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    27    15     7.254067E-01     2.903233E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    28    16     7.253297E-01     2.383370E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    29    17     7.251802E-01     4.893471E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   18    30    18     7.250909E-01     7.309913E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   19    31    19     7.264347E-01     8.064052E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   20    33    20     7.264538E-01     9.950130E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   21    35    21     7.269713E-01     1.084046E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   22    38    22     7.274634E-01     1.109007E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   23    41    23     7.250203E-01     1.196010E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   24    43    24     7.249450E-01     2.032148E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   25    44    25     7.248887E-01     1.538063E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   26    45    26     7.248463E-01     6.211094E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   27    46    27     7.248191E-01     2.971223E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   28    47    28     7.247854E-01     5.524098E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   29    48    29     7.247759E-01     1.487668E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   30    49    30     7.247221E-01     1.403774E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   31    50    31     7.247165E-01     5.811965E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   32    52    32     7.245792E-01     1.388327E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   33    53    33     7.245683E-01     2.697845E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   34    54    34     7.245345E-01     2.059831E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   35    55    35     7.245004E-01     4.415084E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   36    56    36     7.244086E-01     2.112770E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   37    57    37     7.243892E-01     8.308092E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   38    58    38     7.243290E-01     1.528750E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   39    59    39     7.242698E-01     1.163765E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   40    60    40     7.242072E-01     1.556729E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   41    61    41     7.245838E-01     2.039275E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   42    63    42     7.261206E-01     5.342414E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   43    65    43     7.297371E-01     1.959334E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   44    68    44     7.335267E-01     2.218467E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
