MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.990000E+02     2.821347E+01     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     8.099900E+04     2.821347E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     6     2     1.927644E+03     2.061207E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     8     3     3.745213E+06     9.232828E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    11     4     2.295934E+02     1.593478E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    14     5     2.039098E+02     1.608150E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    16     6     4.154963E+03     4.097468E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    19     7     1.969542E+02     4.888919E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    21     8     2.644631E+06     6.028865E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    24     9     2.489418E+02     1.016972E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    27    10     1.954802E+02     1.056891E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    28    11     1.430980E+06     1.297028E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    31    12     4.602052E+02     1.171725E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    34    13     1.969798E+02     1.186427E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    36    14     1.494414E+05     9.479833E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    39    15     2.301074E+02     1.110842E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    42    16     2.527690E+03     1.124187E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    45    17     2.141092E+02     1.112859E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   18    48    18     1.967907E+02     1.108256E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   19    50    19     1.081946E+03     7.201147E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   20    54    20     1.942406E+02     7.102222E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   21    56    21     1.442211E+05     8.161851E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   22    59    22     2.257669E+02     9.078760E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   23    62    23     1.974878E+02     9.218049E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   24    64    24     1.614599E+04     7.243406E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   25    67    25     1.947732E+02     8.926380E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   26    69    26     3.607458E+05     9.414862E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   27    72    27     2.072943E+02     1.102287E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   28    75    28     6.889775E+02     1.093359E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   29    77    29     2.230614E+02     1.842241E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   30    80    30     1.959856E+02     1.804273E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   31    82    31     1.630999E+03     1.294897E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   32    85    32     1.930630E+02     1.433472E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   33    87    33     5.920690E+04     1.029326E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   34    90    34     1.990068E+02     8.740252E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   35    93    35     2.105919E+02     8.803874E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   36    95    36     2.129858E+03     7.554389E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   37    98    37     2.334828E+02     8.462852E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   38   100    38     1.072393E+03     8.960679E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   39   103    39     1.917675E+02     9.495611E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   40   105    40     6.914398E+04     1.126664E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   41   108    41     1.944124E+02     1.374986E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   42   110    42     4.720072E+02     1.317489E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   43   113    43     2.635557E+02     9.334782E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   44   116    44     1.916106E+02     9.337710E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   45   118    45     2.745276E+05     9.165706E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   46   121    46     1.949585E+02     1.258141E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   47   123    47     3.332250E+02     1.252848E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   48   125    48     3.007408E+02     1.632474E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   49   128    49     1.903981E+02     1.642885E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   50   130    50     7.523602E+03     1.179691E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   51   133    51     1.929729E+02     1.437011E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   52   135    52     1.590862E+03     1.263017E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   53   138    53     2.043218E+02     1.170570E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   54   141    54     1.458537E+03     1.175276E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   55   144    55     2.098496E+02     1.285988E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   56   147    56     2.088722E+02     1.279812E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   57   149    57     7.536494E+02     8.154564E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   58   152    58     1.892917E+02     8.357383E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   59   154    59     1.074866E+06     9.853706E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
