MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     4.939953E-01     1.386669E-01     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     4.940067E-01     1.386669E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     6     2     4.926601E-01     1.361711E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     8     3     4.931562E-01     1.445240E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    11     4     4.945596E-01     1.766439E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    15     5     4.893872E-01     2.407333E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    17     6     4.864830E-01     8.606894E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    18     7     4.843068E-01     2.195770E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    20     8     4.833068E-01     1.081154E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    22     9     4.819681E-01     3.025870E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    23    10     4.825728E-01     3.010686E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    25    11     4.830119E-01     2.991368E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    27    12     4.814303E-01     5.599807E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    32    13     4.824656E-01     7.615537E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    38    14     4.811750E-01     2.977408E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    39    15     4.834279E-01     2.961488E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    41    16     4.810964E-01     3.332373E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    42    17     4.810305E-01     3.322921E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   18    43    18     4.812636E-01     5.636029E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   19    45    19     4.861567E-01     5.623440E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   20    48    20     4.879238E-01     5.616107E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   21    51    21     4.884260E-01     5.606027E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   22    54    22     4.815935E-01     5.918196E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   23    57    23     4.809201E-01     3.087536E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   24    58    24     4.809177E-01     5.500536E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   25    60    25     4.809487E-01     2.972975E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   26    62    26     4.814311E-01     2.973912E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   27    65    27     4.841759E-01     2.974314E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   28    69    28     4.884490E-01     2.974445E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   29    74    29     5.718036E-01     2.974485E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   30    79    30     4.809193E-01     3.220904E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   31    82    31     4.823621E-01     2.974256E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   32    88    32     4.808904E-01     3.096591E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   33    89    33     4.814495E-01     2.980027E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   34    91    34     4.817284E-01     2.983184E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   35    94    35     4.817633E-01     2.983563E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   36    97    36     4.815929E-01     2.984040E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   37   100    37     4.823600E-01     2.985110E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   38   104    38     4.841550E-01     2.985342E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   39   109    39     4.861666E-01     2.985423E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   40   114    40     4.867750E-01     2.985459E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   41   119    40     4.808815E-01     2.985459E-02     0.000000E+00     0.000000E+00    -4.324380E-08     4.454353E-01 
