MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     7.348297E+03     5.164751E+03     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.820664E+03     5.164751E+03     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     5     2     9.605532E+02     6.576584E+03     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     8     3     5.964403E+02     6.804628E+02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    10     4     1.562401E+51     7.373857E+02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    12     5     4.889122E+02     4.000139E+02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    14     6     7.435664E+04     1.547671E+02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    16     7     2.589560E+02     4.947624E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    18     8     4.239373E+01     8.029962E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    20     9     5.390051E+00     1.040630E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    22    10     5.068839E+00     1.297638E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    24    11     8.729082E+01     6.704675E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    26    12     2.432099E+03     5.482869E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    28    13     3.373784E+00     1.208825E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    29    14     3.974285E+01     3.504894E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    31    15     2.396302E+00     1.805591E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    32    16     2.182363E+00     9.274631E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    33    17     1.927439E+00     1.212782E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
